Time,ZONE 1:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZONE 1:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZONE 1:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZONE 1:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ZONE 2:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZONE 2:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZONE 2:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZONE 2:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:10:00,6.704577E+03,0.000000E+00,3.034156E-01,0.000000E+00,4.015820E+03,0.000000E+00,1.817354E-01,0.000000E+00 
00:20:00,6.725900E+03,0.000000E+00,3.043804E-01,0.000000E+00,4.030397E+03,0.000000E+00,1.823950E-01,0.000000E+00 
00:30:00,6.746615E+03,0.000000E+00,3.053177E-01,0.000000E+00,4.044419E+03,0.000000E+00,1.830295E-01,0.000000E+00 
00:40:00,6.766823E+03,0.000000E+00,3.062321E-01,0.000000E+00,4.057978E+03,0.000000E+00,1.836431E-01,0.000000E+00 
00:50:00,6.786605E+03,0.000000E+00,3.071273E-01,0.000000E+00,4.071150E+03,0.000000E+00,1.842392E-01,0.000000E+00 
01:00:00,6.806025E+03,0.000000E+00,3.080060E-01,0.000000E+00,4.083995E+03,0.000000E+00,1.848204E-01,0.000000E+00 
01:10:00,6.828801E+03,0.000000E+00,3.090366E-01,0.000000E+00,4.098617E+03,0.000000E+00,1.854821E-01,0.000000E+00 
01:20:00,6.851284E+03,0.000000E+00,3.100540E-01,0.000000E+00,4.112988E+03,0.000000E+00,1.861324E-01,0.000000E+00 
01:30:00,6.873507E+03,0.000000E+00,3.110596E-01,0.000000E+00,4.127140E+03,0.000000E+00,1.867728E-01,0.000000E+00 
01:40:00,6.895494E+03,0.000000E+00,3.120545E-01,0.000000E+00,4.141096E+03,0.000000E+00,1.874044E-01,0.000000E+00 
01:50:00,6.917266E+03,0.000000E+00,3.130398E-01,0.000000E+00,4.154880E+03,0.000000E+00,1.880281E-01,0.000000E+00 
02:00:00,6.938839E+03,0.000000E+00,3.140160E-01,0.000000E+00,4.168506E+03,0.000000E+00,1.886447E-01,0.000000E+00 
02:10:00,6.960227E+03,0.000000E+00,3.149838E-01,0.000000E+00,4.181989E+03,0.000000E+00,1.892549E-01,0.000000E+00 
02:20:00,6.981441E+03,0.000000E+00,3.159438E-01,0.000000E+00,4.195340E+03,0.000000E+00,1.898591E-01,0.000000E+00 
02:30:00,7.002487E+03,0.000000E+00,3.168962E-01,0.000000E+00,4.208567E+03,0.000000E+00,1.904576E-01,0.000000E+00 
02:40:00,7.023325E+03,0.000000E+00,3.178392E-01,0.000000E+00,4.221639E+03,0.000000E+00,1.910492E-01,0.000000E+00 
02:50:00,7.043971E+03,0.000000E+00,3.187734E-01,0.000000E+00,4.234570E+03,0.000000E+00,1.916344E-01,0.000000E+00 
03:00:00,7.064445E+03,0.000000E+00,3.196999E-01,0.000000E+00,4.247378E+03,0.000000E+00,1.922140E-01,0.000000E+00 
03:10:00,7.084756E+03,0.000000E+00,3.206191E-01,0.000000E+00,4.260068E+03,0.000000E+00,1.927883E-01,0.000000E+00 
03:20:00,7.104911E+03,0.000000E+00,3.215311E-01,0.000000E+00,4.272650E+03,0.000000E+00,1.933576E-01,0.000000E+00 
03:30:00,7.124914E+03,0.000000E+00,3.224363E-01,0.000000E+00,4.285126E+03,0.000000E+00,1.939222E-01,0.000000E+00 
03:40:00,7.144820E+03,0.000000E+00,3.233371E-01,0.000000E+00,4.297541E+03,0.000000E+00,1.944840E-01,0.000000E+00 
03:50:00,7.164621E+03,0.000000E+00,3.242332E-01,0.000000E+00,4.309890E+03,0.000000E+00,1.950429E-01,0.000000E+00 
04:00:00,7.184304E+03,0.000000E+00,3.251239E-01,0.000000E+00,4.322163E+03,0.000000E+00,1.955983E-01,0.000000E+00 
04:10:00,7.203867E+03,0.000000E+00,3.260092E-01,0.000000E+00,4.334359E+03,0.000000E+00,1.961502E-01,0.000000E+00 
04:20:00,7.223308E+03,0.000000E+00,3.268890E-01,0.000000E+00,4.346478E+03,0.000000E+00,1.966986E-01,0.000000E+00 
04:30:00,7.242627E+03,0.000000E+00,3.277632E-01,0.000000E+00,4.358517E+03,0.000000E+00,1.972435E-01,0.000000E+00 
04:40:00,7.261824E+03,0.000000E+00,3.286319E-01,0.000000E+00,4.370478E+03,0.000000E+00,1.977848E-01,0.000000E+00 
04:50:00,7.280897E+03,0.000000E+00,3.294951E-01,0.000000E+00,4.382360E+03,0.000000E+00,1.983225E-01,0.000000E+00 
05:00:00,7.299848E+03,0.000000E+00,3.303527E-01,0.000000E+00,4.394163E+03,0.000000E+00,1.988566E-01,0.000000E+00 
05:10:00,7.318676E+03,0.000000E+00,3.312047E-01,0.000000E+00,4.405888E+03,0.000000E+00,1.993872E-01,0.000000E+00 
05:20:00,7.337382E+03,0.000000E+00,3.320512E-01,0.000000E+00,4.417533E+03,0.000000E+00,1.999142E-01,0.000000E+00 
05:30:00,7.355966E+03,0.000000E+00,3.328922E-01,0.000000E+00,4.429100E+03,0.000000E+00,2.004376E-01,0.000000E+00 
05:40:00,7.374429E+03,0.000000E+00,3.337277E-01,0.000000E+00,4.440588E+03,0.000000E+00,2.009575E-01,0.000000E+00 
05:50:00,7.392770E+03,0.000000E+00,3.345578E-01,0.000000E+00,4.451999E+03,0.000000E+00,2.014739E-01,0.000000E+00 
06:00:00,7.410992E+03,0.000000E+00,3.353824E-01,0.000000E+00,4.463333E+03,0.000000E+00,2.019868E-01,0.000000E+00 
06:10:00,7.429094E+03,0.000000E+00,3.362016E-01,0.000000E+00,4.474589E+03,0.000000E+00,2.024962E-01,0.000000E+00 
06:20:00,7.447076E+03,0.000000E+00,3.370153E-01,0.000000E+00,4.485768E+03,0.000000E+00,2.030021E-01,0.000000E+00 
06:30:00,7.464940E+03,0.000000E+00,3.378238E-01,0.000000E+00,4.496871E+03,0.000000E+00,2.035046E-01,0.000000E+00 
06:40:00,7.482686E+03,0.000000E+00,3.386268E-01,0.000000E+00,4.507898E+03,0.000000E+00,2.040036E-01,0.000000E+00 
06:50:00,7.500315E+03,0.000000E+00,3.394246E-01,0.000000E+00,4.518850E+03,0.000000E+00,2.044992E-01,0.000000E+00 
07:00:00,7.517827E+03,0.000000E+00,3.402171E-01,0.000000E+00,4.529726E+03,0.000000E+00,2.049914E-01,0.000000E+00 
07:10:00,1.043286E+04,9.412069E+02,4.861044E-01,8.516508E-02,6.108019E+03,5.620072E+02,2.848948E-01,5.048945E-02 
07:20:00,1.179278E+04,1.217075E+03,5.650203E-01,1.124947E-01,6.959212E+03,7.703198E+02,3.340942E-01,7.112650E-02 
07:30:00,1.305178E+04,1.489325E+03,6.387159E-01,1.394668E-01,7.742763E+03,9.748997E+02,3.797942E-01,9.139417E-02 
07:40:00,1.425244E+04,1.761320E+03,7.094028E-01,1.664135E-01,8.485643E+03,1.178667E+03,4.233948E-01,1.115814E-01 
07:50:00,1.540942E+04,2.034363E+03,7.778408E-01,1.934641E-01,9.197144E+03,1.382749E+03,4.653783E-01,1.317996E-01 
08:00:00,1.653236E+04,2.309486E+03,8.445312E-01,2.207206E-01,9.883762E+03,1.588038E+03,5.060818E-01,1.521374E-01 
08:10:00,1.473050E+04,1.646345E+03,7.647303E-01,1.631037E-01,8.982786E+03,1.233282E+03,4.663390E-01,1.221802E-01 
08:20:00,1.446152E+04,1.652225E+03,7.507662E-01,1.636869E-01,8.792357E+03,1.234825E+03,4.564529E-01,1.223333E-01 
08:30:00,1.427504E+04,1.666039E+03,7.410850E-01,1.650552E-01,8.655812E+03,1.243251E+03,4.493643E-01,1.231680E-01 
08:40:00,1.413132E+04,1.684973E+03,7.336239E-01,1.669308E-01,8.548351E+03,1.256113E+03,4.437854E-01,1.244421E-01 
08:50:00,1.401793E+04,1.708200E+03,7.277370E-01,1.692318E-01,8.462375E+03,1.272691E+03,4.393220E-01,1.260843E-01 
09:00:00,1.392689E+04,1.735106E+03,7.230107E-01,1.718972E-01,8.392720E+03,1.292438E+03,4.357059E-01,1.280405E-01 
09:10:00,1.346890E+04,2.136126E+03,6.992345E-01,2.116260E-01,8.053535E+03,1.587992E+03,4.180972E-01,1.573205E-01 
09:20:00,1.300399E+04,2.551116E+03,6.750988E-01,2.527409E-01,7.708477E+03,1.895824E+03,4.001836E-01,1.878177E-01 
09:30:00,1.253692E+04,2.975726E+03,6.508544E-01,2.948108E-01,7.361460E+03,2.212110E+03,3.821704E-01,2.191545E-01 
09:40:00,1.206814E+04,3.408362E+03,6.265247E-01,3.376780E-01,7.012895E+03,2.535493E+03,3.640789E-01,2.511964E-01 
09:50:00,1.159781E+04,3.847823E+03,6.021173E-01,3.812231E-01,6.662963E+03,2.864917E+03,3.459178E-01,2.838388E-01 
10:00:00,1.112599E+04,4.293118E+03,5.776350E-01,4.253482E-01,6.311770E+03,3.199494E+03,3.276926E-01,3.169934E-01 
10:10:00,1.103646E+04,4.372476E+03,5.730009E-01,4.332215E-01,6.241504E+03,3.265371E+03,3.240527E-01,3.235297E-01 
10:20:00,1.096517E+04,4.444906E+03,5.693159E-01,4.404082E-01,6.185765E+03,3.325033E+03,3.211678E-01,3.294510E-01 
10:30:00,1.090440E+04,4.513782E+03,5.661743E-01,4.472422E-01,6.138543E+03,3.381398E+03,3.187236E-01,3.350446E-01 
10:40:00,1.085144E+04,4.579839E+03,5.634363E-01,4.537962E-01,6.097815E+03,3.435024E+03,3.166152E-01,3.403660E-01 
10:50:00,1.080446E+04,4.643518E+03,5.610067E-01,4.601142E-01,6.062155E+03,3.486255E+03,3.147689E-01,3.454492E-01 
